경로당명,주소,회원수,행정동,경도,위도
신안중앙경로당,천안시 동남구 먹거리1길10(신부동),20,신안동,127.1535274,36.81800484
신안16통경로당,천안시 동남구 터미널8길7(신부동),20,신안동,127.1579839,36.82226377
신안24통경로당,천안시 동남구 중암1길11(안서동),30,신안동,127.1744942,36.83211872
신안25통경로당,천안시 동남구 각원사길138(안서동),53,신안동,127.1858611,36.83086743
신안27통경로당,천안시 동남구 문암로47(안서동),36,신안동,127.1790782,36.83990322
동아태조아파트경로당,천안시 동남구 터미널9길13 동아태조아파트 내,27,신안동,127.1552949,36.82419325
대림한내아파트경로당,천안시 동남구 터미널9길31(신부동) 대림한내아파트내,30,신안동,127.1565417,36.82416503
대림한들아파트경로당,천안시 동남구 터미널9길59(신부동) 대림한들아파트 내,17,신안동,127.1581796,36.82407771
대림한숲아파트경로당,천안시 동남구 터미널6길12 대림한숲아파트 내,32,신안동,127.1608906,36.82209226
신안경남아파트경로당,천안시 동남구 충절로42 경남아너스아파트 내,27,신안동,127.1580311,36.81570624
안서부경아파트경로당,"천안시 동남구 성불사길36,102동102호(안서동,부경아파트)",46,신안동,127.188707,36.82866442
안서대림아파트경로당,천안시 동남구 성불사길41 대림아파트 내,31,신안동,127.1902604,36.83018788
"신안13,20통경로당",천안시 동남구 신원1길13(신부동),35,신안동,127.1599215,36.81394448
신안14통경로당(동남로얄아파트),"천안시 동남구 신원3길33,다106(신부동,동남로얄아파트)",31,신안동,127.1640115,36.81501384
신안휴먼시아아파트경로당,천안시 동남구 천안천8길45 휴먼시아아파트내,22,신안동,127.1556645,36.82192558
안서금호어울림아파트경로당,천안시 동남구 문암1길68 안서금호어울림아파트내,37,신안동,127.1767357,36.84051236
힐스테이트아파트경로당,북일로70 힐스테이트 천안신부아파트,55,신안동,127.1558673,36.82703126
동문굿모닝힐아파트경로당,신부8길 21,62,신안동,127.1613102,36.81704323
