경로당명,주소,회원수,행정동,경도,위도
구룡1통경로당,천안시 동남구 용평1길35,54,청룡동,127.1552234,36.76401829
구룡3통경로당,천안시 동남구 중리1길144,36,청룡동,127.1489226,36.76664373
청룡14통경로당,천안시 동남구 대흥로38,27,청룡동,127.1571477,36.79712984
구성5통굴울마을경로당,천안시 동남구 정골1길82,30,청룡동,127.1733558,36.79223113
구광경로당,천안시 동남구 삼룡천2길53,27,청룡동,127.1611783,36.79553894
삼룡3통경로당,천안시 동남구 삼룡3길21,27,청룡동,127.1674156,36.77939562
극동1차아파트경로당,천안시 동남구 청수로99 극동1차아파트 내,17,청룡동,127.1555891,36.79220254
LGSK아파트경로당,천안시 동남구 청수로98 LGSK아파트 내,36,청룡동,127.1589454,36.79195101
향목그라비스아파트경로당,천안시 동남구 충절로303 향목그라비스아파트 내,24,청룡동,127.1620428,36.79294752
청당마을신도브래뉴아파트경로당,천안시 동남구 풍세로770 신도브래뉴아파트 내,20,청룡동,127.1414355,36.77757007
청당마을벽산블루밍아파트경로당,천안시 동남구 청당2길118 벽산블루밍아파트내,23,청룡동,127.1542479,36.77977513
청수동경남아너스빌아파트경로당,천안시 동남구 청수로15 경남아너스빌아파트 내,29,청룡동,127.1494327,36.78878458
중흥S클래스아파트경로당,천안시 동남구 청수14로117 중흥S클래스아파트 내,17,청룡동,127.1593947,36.78760038
청당산운마을아파트경로당,천안시 동남구 청수8로71 청당산운마을아파트 내,22,청룡동,127.1581614,36.78860136
청당버들마을아파트경로당,천안시 동남구 청수14로29 청당버들마을아파트 내,46,청룡동,127.1496047,36.78642795
청당우미린아파트경로당,천안시 동남구 청수14로16 우미린아파트내,34,청룡동,127.1487355,36.7836108
구성휴먼시아아파트경로당,천안시 동남구 대흥로35 휴먼시아아파트 내,32,청룡동,127.1553402,36.7965674
한양수자인아파트경로당,천안시 동남구 청수4로11 한양수자인아파트 내,30,청룡동,127.149576,36.7831163
부영사랑으로아파트경로당,천안시 동남구 청수8로72 부영사랑으로아파트 내,20,청룡동,127.1590344,36.78935848
청수꿈에그린아파트경로당,천안시 동남구 청수14로13  꿈에그린아파트 내,18,청룡동,127.1473616,36.7864886
행정타운두산위브경로당,천안시 동남구 청당3길 147 두산위브아파트 내,38,청룡동,127.1611646,36.78020507
청당한양수자인블루시티경로당,천안시 동남구 청당4로 60,29,청룡동,127.1517217,36.77752361
청당코오롱하늘채아파트경로당,천안시 동남구 광풍로 1800,40,청룡동,127.1451741,36.77905646
