정류장번호,정류장명,X좌표,Y좌표,행정동
CAB285001067,송덕리,127.11953,36.923318,성환읍
CAB285001068,기린빌라,127.1177136,36.9265446,성환읍
CAB285001069,우신1리(경로당),127.117188,36.9295042,성환읍
CAB285001070,우신1리,127.1168885,36.9366157,성환읍
CAB285001071,어룡리,127.116644,36.940852,성환읍
CAB285001074,동성중학교,127.1283551,36.90657911,성환읍
CAB285001075,삼풍아파트,127.1305841,36.91229961,성환읍
CAB285001076,매주4리(삼천리앞),127.1253307,36.91115133,성환읍
CAB285001077,율금리,127.1030575,36.8962232,성환읍
CAB285000038,안궁5리,127.1195257,36.96443966,성환읍
CAB285000039,안궁5리(문화촌),127.1200541,36.96399296,성환읍
CAB285000040,안궁3리(가룡),127.1254315,36.9619402,성환읍
CAB285000041,안궁4리(신안동),127.1295491,36.95669627,성환읍
CAB285000042,안궁3리,127.1255887,36.9619677,성환읍
CAB285000043,안궁리,127.1301391,36.95571297,성환읍
CAB285000044,대홍5리,127.1325609,36.9480054,성환읍
CAB285000045,대홍5리 홍천,127.1323191,36.94933632,성환읍
CAB285000046,대홍5리,127.1328807,36.94633466,성환읍
CAB285000047,대홍5리,127.1333158,36.94615489,성환읍
CAB285000050,대홍1리(대정),127.1343591,36.93843296,성환읍
CAB285000051,대홍4리(갯방죽),127.1341091,36.93176964,성환읍
CAB285000052,대홍4리(갯방죽),127.1344624,36.93229797,성환읍
CAB285000053,희성폴리머,127.1342557,36.92925798,성환읍
CAB285000054,희성폴리머,127.1340474,36.92884631,성환읍
CAB285000055,장로교회,127.1346624,36.92347629,성환읍
CAB285000056,장로교회,127.1344274,36.92336465,성환읍
CAB285000057,대홍리,127.1341577,36.9487585,성환읍
CAB285000058,수향1리(지족향),127.1417441,36.94976127,성환읍
CAB285000059,수향2리(무내),127.1496207,36.94627127,성환읍
CAB285000060,수향2리,127.1506368,36.94339467,성환읍
CAB285000061,수향3리,127.1564822,36.9420418,성환읍
CAB285000062,천안연암대학교,127.1585228,36.9440399,성환읍
CAB285000063,도하3리,127.1618729,36.94592493,성환읍
CAB285000064,도하1리(도감말),127.1640314,36.94769411,성환읍
CAB285000077,성환8리,127.1227674,36.92149462,성환읍
CAB285000078,송덕,127.1189774,36.92381631,성환읍
CAB285000079,국립축산과학원입구,127.1120326,36.9257942,성환읍
CAB285000080,국립축산과학원입구,127.1119714,36.9256904,성환읍
CAB285000082,기린빌라,127.1175471,36.92652779,성환읍
CAB285000083,우신1리(경로당),127.1170294,36.92953195,성환읍
CAB285000084,우신1리,127.1166481,36.93665425,성환읍
CAB285000085,어룡리,127.11673,36.940831,성환읍
CAB285000088,신가1리(신흥),127.117245,36.949251,성환읍
CAB285000089,신가초등학교,127.117336,36.949169,성환읍
CAB285000090,와룡2리(농촌),127.1054641,36.95704461,성환읍
CAB285000091,와룡2리,127.1052511,36.95693833,성환읍
CAB285000092,와룡3리(북농촌),127.1024824,36.95777627,성환읍
CAB285000093,와룡3리,127.1023098,36.95795143,성환읍
CAB285000095,성환터미널,127.1327387,36.91729105,성환읍
CAB285000096,성신초등학교,127.1278602,36.91765545,성환읍
CAB285000097,성신초등학교,127.1280682,36.91718145,성환읍
CAB285000098,성환역,127.1279794,36.91571532,성환읍
CAB285000099,삼풍아파트,127.1309113,36.91246987,성환읍
CAB285000100,매주4리(삼천리앞),127.1253919,36.91104545,성환읍
CAB285000101,율금교,127.1181568,36.9072541,성환읍
CAB285000102,율금교,127.1179859,36.9073104,성환읍
CAB285000103,율금리,127.1146526,36.9054039,성환읍
CAB285000104,율금리,127.114667,36.9054246,성환읍
CAB285000105,대명아파트,127.102955,36.89635579,성환읍
CAB285000142,성월1리,127.1366208,36.9208455,성환읍
CAB285000143,성월1리,127.1367054,36.9207647,성환읍
CAB285000144,학정리,127.1448536,36.9334592,성환읍
CAB285000145,학정리,127.144955,36.9333874,성환읍
CAB285001274,수향1리(지족향),127.1419258,36.949625,성환읍
CAB285001275,대홍초교(지족향),127.1463483,36.9489938,성환읍
CAB285001276,대홍초교(지족향),127.1464101,36.94912109,성환읍
CAB285001277,수향2리,127.1504228,36.9433943,성환읍
CAB285001278,수향3리,127.1565153,36.9421636,성환읍
CAB285001279,천안연암대학교,127.1587305,36.944063,성환읍
CAB285001280,도하3리,127.1620245,36.9458348,성환읍
CAB285001281,도하1리(도감말),127.1642907,36.9476576,성환읍
CAB285001356,매주3리,127.1210541,36.9088166,성환읍
CAB285001357,매주3리,127.1209794,36.90896889,성환읍
CAB285001358,이화아파트,127.109089,36.9035028,성환읍
CAB285001359,이화아파트,127.1091424,36.90366295,성환읍
CAB285001360,두진아파트,127.1012771,36.90549174,성환읍
CAB285001361,대영한아름아파트,127.1126042,36.9044669,성환읍
CAB285001362,대영한아름아파트,127.1127811,36.90438228,성환읍
CAB285001363,왕림리,127.1028659,36.91604744,성환읍
CAB285001364,왕림리,127.1030122,36.91594399,성환읍
CAB285001365,왕림리(종점),127.0973567,36.9144512,성환읍
CAB285001366,왕림2리(각금),127.1028752,36.9259803,성환읍
CAB285001367,왕림2리(각금),127.1028814,36.92586554,성환읍
CAB285001368,왕림3리,127.0886219,36.9286817,성환읍
CAB285001369,왕림3리,127.0885753,36.92848652,성환읍
CAB285001370,신방초등학교,127.0857728,36.9283766,성환읍
CAB285001371,신방초등학교,127.0858538,36.9284345,성환읍
CAB285001372,신방1리,127.0803419,36.9312728,성환읍
CAB285001373,신방리(종점),127.0817159,36.9343674,성환읍
CAB285001374,신방1리,127.0804325,36.9311334,성환읍
