정류장번호,정류장명,X좌표,Y좌표,행정동
CAB285001043,신안25통,127.1858961,36.83089653,신안동
CAB285001044,신안25통,127.1855123,36.83086304,신안동
CAB285001045,각원사,127.1892217,36.8330729,신안동
CAB285001046,호서대(천안),127.1797282,36.83039064,신안동
CAB285001047,호서대(천안),127.1797441,36.83058632,신안동
CAB285001048,안서동보아파트,127.1774274,36.83106297,신안동
CAB285001049,금호어울림아파트,127.1767157,36.83864131,신안동
CAB285001050,금호어울림아파트,127.1777027,36.83877783,신안동
CAB285001051,백석대학교,127.1793791,36.83989799,신안동
CAB285001052,상명대학교,127.1739541,36.83428295,신안동
CAB285001053,단국대 삼거리,127.1640326,36.8305713,신안동
CAB285001055,단국대 삼거리,127.1623408,36.8307433,신안동
CAB285001056,단국대 삼거리,127.1622381,36.83082139,신안동
CAB285001057,북일고북일여고,127.158964,36.8285241,신안동
CAB285001058,북일고북일여고,127.1578173,36.8279168,신안동
CAB285001059,포레나신부 힐스테이트,127.1556114,36.8263588,신안동
CAB285001060,힐스테이트 포레나신부,127.1554165,36.82645288,신안동
CAB285001061,도솔광장,127.1633441,36.82281464,신안동
CAB285001062,도솔광장,127.162808,36.8224033,신안동
CAB285001063,안서동(문암),127.186893,36.8444928,신안동
CAB285001477,옹골부락,127.1655424,36.8293063,신안동
CAB285001478,단국대학교,127.1689097,36.83519294,신안동
CAB285001594,안서동보아파트,127.1779991,36.8309613,신안동
CAB285001595,단국대치대병원,127.1743541,36.83703799,신안동
CAB285001596,백석문화대,127.1792607,36.83963095,신안동
CAB285001597,백석대목양관,127.1828056,36.84120464,신안동
CAB285001598,백석대학교(운동장),127.1853061,36.84076694,신안동
CAB285001715,단국대학교병원,127.1743703,36.8412905,신안동
CAB285001719,안서동(문암),127.1869941,36.84434466,신안동
CAB285001747,백석대학교(운동장),127.1851781,36.8406499,신안동
CAB285001754,단국대 삼거리,127.1639488,36.830499,신안동
CAB285000639,단국대학교병원,127.1750657,36.84147798,신안동
CAB285000640,단국대학교병원,127.1741122,36.8413349,신안동
CAB285000641,단국대학교병원,127.1742724,36.83938797,신안동
CAB285000642,상명대학교,127.1730008,36.8330796,신안동
CAB285000643,천안톨게이트,127.1677016,36.82824318,신안동
CAB285000644,천안톨게이트,127.1676106,36.82835666,신안동
CAB285000646,신부우방아파트,127.1526374,36.82342295,신안동
CAB285000648,신부청광아파트,127.1521151,36.82162686,신안동
CAB285000649,방죽안오거리,127.1511525,36.817435,신안동
CAB285000650,방죽안오거리,127.1514936,36.8175776,신안동
CAB285000683,신안파출소,127.1528389,36.81732914,신안동
CAB285000684,신안파출소,127.1529841,36.8174513,신안동
CAB285000685,종합터미널,127.1556582,36.8187607,신안동
CAB285000686,종합터미널,127.1565574,36.8190148,신안동
CAB285000687,고속터미널,127.1545407,36.81895798,신안동
CAB285000688,신부경남아파트,127.1583541,36.81559628,신안동
CAB285000689,신부경남아파트,127.1581206,36.81552076,신안동
CAB285000706,나은필병원(대림한숲아파트),127.159662,36.819457,신안동
CAB285000707,대림한숲아파트,127.1597741,36.81993963,신안동
CAB285000708,포레나신부 대림한내,127.1572557,36.82490299,신안동
CAB285000709,대림한내 포레나신부,127.1571357,36.82465294,신안동
CAB285002084,동아태조아파트,127.1526522,36.8227316,신안동
CAB285002085,신부청광아파트,127.1521933,36.82101139,신안동
CAB285002281,백석대 정문,127.1813974,36.84122964,신안동
CAB285002282,백석대 정문,127.1815568,36.84135168,신안동
CAB285002283,백석대 정문,127.1815669,36.8416896,신안동
CAB285010014,종합터미널,127.156668,36.818752,신안동
CAB285010022,옹골부락,127.1660049,36.82866701,신안동
CAB285010125,종합터미널,127.156019,36.818722,신안동
CAB285010147,각원사,127.1896028,36.8331108,신안동
CAB285071397,단국대입구,127.166025,36.832982,신안동
CAB285071555,신부동회차지,127.1621212,36.82985469,신안동
CAB285071675,신부경남아파트,127.1581179,36.8147815,신안동
CAB285071724,신부청광아파트,127.1521265,36.8216856,신안동
CAB285071733,백석대정문,127.1816569,36.8416132,신안동
CAB285071745,안서코아루,127.1850417,36.8301411,신안동
CAB285071746,안서코아루,127.1850257,36.8299428,신안동
CAB285071805,안서코아루,127.184848,36.829256,신안동
CAB285071806,안서코아루,127.184944,36.82905,신안동
CAB285071885,각원사회차지,127.191408,36.833425,신안동
CAB285071886,각원사회차지,127.191414,36.833545,신안동
CAB285002190,"부경파크빌,안서e편한세상,성불사",127.1894348,36.8294586,신안동
