이름,위도,경도,주소,분류,행정동
신부문화공원,36.81806566,127.1561565,충남 천안시 동남구 신부동 460-4,공원,신안동
청수호수공원,36.78719082,127.1499006,충남 천안시 동남구 청수동 270,공원,청룡동
구성1공원,36.79760241,127.1621678,충남 천안시 동남구 구성동 435-1,공원,청룡동
천안삼거리공원 (2025년 9월 예정),36.78302454,127.1684039,충남 천안시 동남구 삼룡동 299-1,공원,청룡동
청수산림공원,36.79137335,127.1516655,충남 천안시 동남구 청수동 산 5-3,공원,청룡동
도솔공원,36.82413689,127.1618796,충남 천안시 동남구 신부동 119,공원,신안동
신부2공원,36.81557448,127.1612687,충남 천안시 동남구 신부동 987,공원,신안동
청수제2공원,36.7899245,127.1557431,충남 천안시 동남구 청수동 264,공원,청룡동
청수1공원,36.78840452,127.1535105,충남 천안시 동남구 청수동 330,공원,청룡동
태조산공원,36.82369851,127.191298,충남 천안시 동남구 유량동 6,공원,신안동
천안생활체육공원,36.77979462,127.1634723,충남 천안시 동남구 청당동 976,공원,청룡동
천호지근린공원,36.8342016,127.1725965,충남 천안시 동남구 안서동,공원,신안동
천호지생활체육공원,36.83035147,127.1705163,충남 천안시 동남구 신부동 16-119,공원,신안동
편지공원,36.82145225,127.1573537,충남 천안시 동남구 신부동 749,공원,신안동
신부6공원,36.82365168,127.155437,충남 천안시 동남구 신부동 542,공원,신안동
도솔광장 족구장,36.82531227,127.1616322,충남 천안시 동남구 신부동 124,공원,신안동
청룡동 주민센터,36.786016,127.156783,충청남도 천안시 동남구 청수14로 99,무더위쉼터,청룡동
한양수자인블루시티(아),36.7780689,127.1510354,충청남도 천안시 동남구 청당4로 60,무더위쉼터,청룡동
구룡3통 마을회관 앞 정자,36.7666,127.149,충청남도 천안시 동남구 중리1길 144 (구룡동),무더위쉼터,청룡동
청당코오롱하늘채,36.779475,127.1459543,"충청남도 천안시 동남구 광풍로 1800 (청당동, 청당 코오롱 하늘채)",무더위쉼터,청룡동
화친정(양령3리),36.9548685,127.1720612,충청남도 천안시 서북구 성환읍 후생촌1길 55,무더위쉼터,성환읍
금곡쉼터(율금3리),36.9081512,127.1108114,충청남도 천안시 서북구 성환읍 율금9길 110-8,무더위쉼터,성환읍
매주7리(부영1차아파트),36.9028661,127.1345277,충청남도 천안시 서북구 성환읍 천안대로 1843 (부영아파트),무더위쉼터,성환읍
매주9리(부영2차아파트),36.9044513,127.1347,충청남도 천안시 서북구 성환읍 천안대로 1853 (부영아파트),무더위쉼터,성환읍
성환읍사무소,36.9181303,127.134403,충청남도 천안시 서북구 성환읍 성환13길 7,무더위쉼터,성환읍
대한노인회성환읍분회,36.9163714,127.1346146,충청남도 천안시 서북구 성환읍 성환8길 19,무더위쉼터,성환읍
노인건강쉼터(성환3리),36.9183736,127.1297747,충청남도 천안시 서북구 성환읍 성환시장길 9,무더위쉼터,성환읍
신안동주민센터,36.8173384,127.160275,충청남도 천안시 동남구 신부3길 16-6 (신부동),무더위쉼터,신안동
청당코오롱하늘채,36.7796,127.1459,충청남도 천안시 동남구 광풍로 1799 (청당동),무더위쉼터,청룡동
성환읍사무소,36.91809,127.134276,"충청남도 천안시 서북구 성환읍 성환13길 7 , 성환읍사무소",무더위쉼터,성환읍
대한노인회성환읍분회,36.916371,127.134576,"충청남도 천안시 서북구 성환읍 성환8길 19 , 성환노인대학",무더위쉼터,성환읍
노인건강쉼터(성환3리),36.918381,127.129772,"충청남도 천안시 서북구 성환읍 성환시장길 9 , 성환읍노인건강쉼터",무더위쉼터,성환읍
신안동주민센터,36.8173853,127.1602306,충청남도 천안시 동남구 신부3길 16-6,무더위쉼터,신안동
매주10리(부영3차아파트),36.904467,127.134587,충청남도 천안시 서북구 성환읍 천안대로 1853 (부영3차아파트 경로당),무더위쉼터,성환읍
하천변,36.79660209,127.160499,청룡동 삼룡천2길 67,실외운동기구,청룡동
노인회관,36.82908494,127.1675522,신안동 단대로 161-12,실외운동기구,신안동
마을공터,36.83002486,127.1607849,신안동 단대로 91-4,실외운동기구,신안동
마을회관,36.94545045,127.1520834,성환읍 무내1길 27,실외운동기구,성환읍
마을회관,36.94626734,127.1635743,성환읍 도야길 29,실외운동기구,성환읍
마을공터,36.93977962,127.1529306,성환읍 수향리 55-2,실외운동기구,성환읍
마을공터,36.92297813,127.1196234,성환읍 우신리 24-30,실외운동기구,성환읍
아파트단지,36.90549794,127.0995339,성환읍 율금1길 221-34,실외운동기구,성환읍
아파트단지,36.90281308,127.1353952,성환읍 천안대로 1843,실외운동기구,성환읍
노인회관,36.94908564,127.1343679,성환읍 연암로 19,실외운동기구,성환읍
보건진료소,36.95234798,127.1150287,성환읍 가동길 14-2,실외운동기구,성환읍
노인회관,36.95723622,127.1335247,성환읍 안궁2길 18-24,실외운동기구,성환읍
