정류장번호,정류장명,X좌표,Y좌표,행정동
CAB285001036,충무로사거리,127.1606308,36.79862631,청룡동
CAB285000284,선문대(천안),127.1646065,36.7730421,청룡동
CAB285000285,선문대(천안),127.1649224,36.77294961,청룡동
CAB285001305,구룡1통입구,127.1552598,36.7670585,청룡동
CAB285001306,구룡1통입구,127.1553445,36.7668964,청룡동
CAB285001422,구룡2통,127.1382016,36.7665616,청룡동
CAB285001585,구룡1통,127.1549287,36.7636662,청룡동
CAB285001587,구성5통,127.1734857,36.79237965,청룡동
CAB285001588,신성미소지움아파트,127.1648808,36.79281465,청룡동
CAB285001589,삼룡교,127.1594619,36.7978865,청룡동
CAB285001746,구성5통,127.1735469,36.79231923,청룡동
CAB285001767,청당벽산아파트,127.1593924,36.78110798,청룡동
CAB285001811,청수초등학교,127.1515655,36.78814704,청룡동
CAB285001812,청수극동2차아파트,127.154795,36.79006453,청룡동
CAB285001813,공립지역아동센터,127.1581978,36.79575872,청룡동
CAB285001814,청수현대아파트,127.1545118,36.79791216,청룡동
CAB285000734,천안여자고등학교,127.1650802,36.77950419,청룡동
CAB285000735,천안여자고등학교,127.1654907,36.78047633,청룡동
CAB285000736,원삼거리,127.165509,36.78284,청룡동
CAB285000737,천안동중학교,127.1656891,36.78786298,청룡동
CAB285000738,천안동중학교,127.1660115,36.78778703,청룡동
CAB285000739,천안삼거리공원,127.1691222,36.7842081,청룡동
CAB285000740,천안삼거리공원,127.1697274,36.78402463,청룡동
CAB285000741,삼룡동새마을회관,127.1735565,36.7804555,청룡동
CAB285000742,삼룡동새마을회관,127.1733924,36.78093295,청룡동
CAB285000743,"천안의료원,고려신학대학원",127.1777027,36.776238,청룡동
CAB285000744,천안삼거리장례식장,127.1793202,36.77312583,청룡동
CAB285000745,천안삼거리장례식장,127.1793741,36.77375795,청룡동
CAB285000746,"천안의료원,고려신학대학원",127.1783259,36.7759539,청룡동
CAB285000747,신성미소지움아파트,127.1645478,36.79226235,청룡동
CAB285000749,삼룡교,127.159202,36.797712,청룡동
CAB285000750,원삼거리,127.1650659,36.7836693,청룡동
CAB285000751,구룡동,127.1490484,36.7666725,청룡동
CAB285000753,청수극동2차아파트,127.1544843,36.7893504,청룡동
CAB285000754,청수LG SK아파트,127.1560667,36.7913365,청룡동
CAB285000755,청수극동1차아파트,127.1559119,36.79156779,청룡동
CAB285000756,공립지역아동센터,127.1583892,36.7958596,청룡동
CAB285000757,청수현대아파트,127.154829,36.79811958,청룡동
CAB285000758,청수현대아파트,127.15305,36.79757,청룡동
CAB285000759,청수현대아파트,127.1528346,36.79756324,청룡동
CAB285000761,남양유업,127.1510754,36.7941202,청룡동
CAB285000768,청당마을신도브래뉴아파트,127.1406806,36.7787137,청룡동
CAB285000770,현대까치아파트,127.1380441,36.77263961,청룡동
CAB285000774,청수초등학교,127.1516824,36.78801064,청룡동
CAB285000775,구성초등학교,127.1603407,36.79378962,청룡동
CAB285000776,구성초등학교,127.160393,36.793522,청룡동
