구분,시군,기능,이름,주소,경도,위도,행정동
노인의료복지시설,천안시,노인요양시설(개정법),행복나눔노인요양원,천안시 동남구 태조산길 266(유량동),127.1884568,36.82041018,청룡동
노인의료복지시설,천안시,노인요양시설(개정법),천안노인전문요양원,천안시 동남구 정골2길 97(구성동),127.177258,36.79977396,청룡동
노인의료복지시설,천안시,노인요양시설(개정법),천안삼거리요양원,천안시 동남구 샛골길 1-15(삼룡동),127.1683668,36.7867207,청룡동
노인의료복지시설,천안시,노인요양시설(개정법),천안실버안요양원,천안시 동남구 천안대로 215 3층(삼룡동),127.1650772,36.76738756,청룡동
노인의료복지시설,천안시,노인요양시설(개정법),천안제일요양원,천안시 동남구 광풍로 1828(청당동),127.1457042,36.7813795,청룡동
노인의료복지시설,천안시,노인요양시설(개정법),호서노인전문요양원,천안시 동남구 충절로 535-18(삼룡동),127.1792109,36.77674794,청룡동
노인의료복지시설,천안시,노인요양시설(개정법),효자의 집,천안시 동남구 충절로 535-18(삼룡동),127.1792109,36.77674794,신안동
노인의료복지시설,천안시,노인요양공동생활가정,이화엔젤스요양원,천안시 동남구 대흥로 336-4(신부동),127.1518009,36.81749712,성환읍
노인의료복지시설,천안시,노인요양시설(개정법),드림요양원,천안시 서북구 성환읍 무내3길15,127.1513454,36.94705599,성환읍
노인의료복지시설,천안시,노인요양시설(개정법),북천안요양원,천안시 서북구 성환읍 성월수향길30,127.1373679,36.92119364,성환읍
노인의료복지시설,천안시,노인요양공동생활가정,비타민요양원,천안시 서북구 성환읍 성환9길 9,127.1289873,36.91612073,성환읍
노인의료복지시설,천안시,노인요양공동생활가정,비타민우리요양원,천안시 서북구 성환읍 성환9길 9 광성빌딩 4층,127.1289873,36.91612073,성환읍
노인의료복지시설,천안시,노인요양공동생활가정,성환사랑의마을,천안시 서북구 성환읍 매주4길 28,127.1276343,36.91215739,성환읍
재가노인복지시설,천안시,방문요양,이웃사랑노인복지센터,"천안시 서북구 성환읍 성월수향길 32-4, 2층",127.1374127,36.92113952,성환읍
재가노인복지시설,천안시,주야간보호,북천안요양원부설주야간보호센터,천안시 서북구 성환읍 성월수향길 30,127.1373679,36.92119364,성환읍
재가노인복지시설,천안시,재가노인지원서비스,성환재가노인복지센터,천안시 서북구 성환읍 성환중앙로 24-7,127.1304566,36.91564159,성환읍
