시군구명,읍면동명,,연도,,쉼터명칭,상세주소,사용여부,시설면적,이용가능인원수,소재지지번주소,경도,위도,시설유형명
천안시 동남구 청룡동, 동남구 청룡동,,2024,,부영사랑으로 경로당,충청남도 천안시 동남구 청수8로 72,Y,110,27,충청남도 천안시 동남구 청수8로 72,127.159697,36.788948,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,꿈에그린 경로당,충청남도 천안시 동남구 청수14로 13,Y,80,20,충청남도 천안시 동남구 청수14로 13,127.147496,36.78586,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청룡동 주민센터,충청남도 천안시 동남구 청수14로 99,Y,50,12,충청남도 천안시 동남구 청수14로 99,127.156783,36.786016,주민센터
천안시 동남구 청룡동, 동남구 청룡동,,2024,,한양수자인블루시티(아),충청남도 천안시 동남구 청당4로 60,Y,125,22,충청남도 천안시 동남구 청당4로 60,127.1510354,36.7780689,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,행정타운 두산위브(아) 경로당,충청남도 천안시 동남구 청당3길 147,Y,146,20,충청남도 천안시 동남구 청당3길 147,127.1611714,36.7791013,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청수2통 경로당,충청남도 천안시 동남구 풍세로 942-25 (청수동),Y,90,22,충청남도 천안시 동남구 풍세로 942-25 (청수동),127.1504217,36.7915803,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청수3통 경로당,충청남도 천안시 동남구 청수로 35-4,N,90,22,충청남도 천안시 동남구 청수로 35-4,127.151512,36.788457,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,극동1차 경로당,"충청남도 천안시 동남구 청수로 99 (청수동, 극동1차아파트)",Y,58,14,"충청남도 천안시 동남구 청수로 99 (청수동, 극동1차아파트)",127.1553152,36.7917536,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,극동2차 경로당,충청남도 천안시 동남구 청수로 69-18 (청수동),Y,95,23,충청남도 천안시 동남구 청수로 69-18 (청수동),127.1528138,36.7904524,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,구성휴먼시아 경로당,충청남도 천안시 동남구 대흥로 35,Y,91,22,충청남도 천안시 동남구 대흥로 35,127.155915,36.796653,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청룡14통 경로당,충청남도 천안시 동남구 대흥로 38,Y,62,15,충청남도 천안시 동남구 대흥로 38,127.15712,36.797112,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,구광 경로당,충청남도 천안시 동남구 삼룡천2길 53,Y,92,23,충청남도 천안시 동남구 삼룡천2길 53,127.161149,36.795518,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청룡11통 경로당,충청남도 천안시 동남구 고래울길 10-1 (구성동),Y,105,26,충청남도 천안시 동남구 고래울길 10-1 (구성동),127.165457,36.797969,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,구룡3통 마을회관 앞 정자,충청남도 천안시 동남구 중리1길 144 (구룡동),Y,6,10,충청남도 천안시 동남구 중리1길 144 (구룡동),127.149,36.7666,정자·파고라
천안시 동남구 청룡동, 동남구 청룡동,,2024,,삼룡1통경로당,충청남도 천안시 동남구 삼룡2길 27 (삼룡동),Y,132,20,충청남도 천안시 동남구 삼룡2길 27 (삼룡동),127.1674448,36.789553,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청당코오롱하늘채,"충청남도 천안시 동남구 광풍로 1800 (청당동, 청당 코오롱 하늘채)",Y,123,20,"충청남도 천안시 동남구 광풍로 1800 (청당동, 청당 코오롱 하늘채)",127.1459543,36.779475,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,안궁4리 경로당,충청남도 천안시 서북구 성환읍 안궁2길 18-24,Y,79,30,충청남도 천안시 서북구 성환읍 안궁2길 18-24,127.1335056,36.9572324,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,양령1리 경로당,충청남도 천안시 서북구 성환읍 상령길 116,Y,96,32,충청남도 천안시 서북구 성환읍 상령길 116,127.152344,36.966249,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,양령2리 경로당,,Y,109,30,,127.1545881,36.9637633,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,화친정(양령3리),충청남도 천안시 서북구 성환읍 후생촌1길 55,Y,99,34,충청남도 천안시 서북구 성환읍 후생촌1길 55,127.1720612,36.9548685,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,도하3리 경로당,충청남도 천안시 서북구 성환읍 도야길 29,Y,110,27,충청남도 천안시 서북구 성환읍 도야길 29,127.1635943,36.9462636,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,수향4리 경로당,충청남도 천안시 서북구 성환읍 잠실길 95,Y,95,16,충청남도 천안시 서북구 성환읍 잠실길 95,127.1526658,36.9531619,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,e편한세상아파트 경로당,충청남도 천안시 서북구 성환읍 성환1로 54-45 (천안성환e편한세상아파트),Y,91,35,충청남도 천안시 서북구 성환읍 성환1로 54-45 (천안성환e편한세상아파트),127.1322128,36.9018835,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,율금1리 경로당,충청남도 천안시 서북구 성환읍 율금4길 27,Y,165,85,충청남도 천안시 서북구 성환읍 율금4길 27,127.109071,36.8983815,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,율금2리 경로당,충청남도 천안시 서북구 성환읍 율금1길 259,Y,132,58,충청남도 천안시 서북구 성환읍 율금1길 259,127.107466,36.9037509,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,금곡쉼터(율금3리),충청남도 천안시 서북구 성환읍 율금9길 110-8,Y,342,27,충청남도 천안시 서북구 성환읍 율금9길 110-8,127.1108114,36.9081512,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,왕림1리경로당,충청남도 천안시 서북구 성환읍 왕지4길 49,Y,83,33,충청남도 천안시 서북구 성환읍 왕지4길 49,127.0972362,36.9142783,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,왕림3리 경로당,충청남도 천안시 서북구 성환읍 임리길 21-32,Y,99,24,충청남도 천안시 서북구 성환읍 임리길 21-32,127.0887604,36.9273352,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,신방2리 경로당,충청남도 천안시 서북구 성환읍 신방4길 6-7,Y,107,48,충청남도 천안시 서북구 성환읍 신방4길 6-7,127.0796975,36.9414172,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,신도브래뉴 경로당,충청남도 천안시 동남구 풍세로 770,Y,87,21,충청남도 천안시 동남구 풍세로 770,127.141415,36.778616,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,벽산블루밍 경로당,충청남도 천안시 동남구 청당2길 118,Y,210,52,충청남도 천안시 동남구 청당2길 118,127.155739,36.779025,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,경남아너스빌 경로당,"충청남도 천안시 동남구 청수로 15 (청수동, 경남아너스빌아파트)",Y,85,21,"충청남도 천안시 동남구 청수로 15 (청수동, 경남아너스빌아파트)",127.1496727,36.7889158,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청당버들 경로당,충청남도 천안시 동남구 청수14로 29,Y,83,20,충청남도 천안시 동남구 청수14로 29,127.149885,36.785616,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,청당산운 경로당,충청남도 천안시 동남구 청수8로 71,Y,126,31,충청남도 천안시 동남구 청수8로 71,127.157632,36.78823,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,중흥S클래스 경로당,충청남도 천안시 동남구 청수14로 117,Y,93,23,충청남도 천안시 동남구 청수14로 117,127.158451,36.7871,노인시설
천안시 동남구 청룡동, 동남구 청룡동,,2024,,한양수자인 경로당,충청남도 천안시 동남구 청수4로 11,Y,87,21,충청남도 천안시 동남구 청수4로 11,127.150742,36.783126,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,복모리 경로당,충청남도 천안시 서북구 성환읍 복모1길 49-6,N,106,30,충청남도 천안시 서북구 성환읍 복모1길 49-6,127.12201,36.950333,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,신가1리 경로당,충청남도 천안시 서북구 성환읍 성환신흥1길 114,Y,192,40,충청남도 천안시 서북구 성환읍 성환신흥1길 114,127.1139559,36.9497726,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,신가2리 경로당,충청남도 천안시 서북구 성환읍 가동길 14,Y,99,26,충청남도 천안시 서북구 성환읍 가동길 14,127.1147662,36.9523727,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,와룡1리 경로당,충청남도 천안시 서북구 성환읍 와우2길 38-13,Y,99,30,충청남도 천안시 서북구 성환읍 와우2길 38-13,127.1043861,36.9496695,노인시설
