정류장번호,정류장명,X좌표,Y좌표,행정동
CAB285001036,충무로사거리,127.1606308,36.79862631,청룡동
CAB285001043,신안25통,127.1858961,36.83089653,신안동
CAB285001044,신안25통,127.1855123,36.83086304,신안동
CAB285001045,각원사,127.1892217,36.8330729,신안동
CAB285001046,호서대(천안),127.1797282,36.83039064,신안동
CAB285001047,호서대(천안),127.1797441,36.83058632,신안동
CAB285001048,안서동보아파트,127.1774274,36.83106297,신안동
CAB285001049,금호어울림아파트,127.1767157,36.83864131,신안동
CAB285001050,금호어울림아파트,127.1777027,36.83877783,신안동
CAB285001051,백석대학교,127.1793791,36.83989799,신안동
CAB285001052,상명대학교,127.1739541,36.83428295,신안동
CAB285001053,단국대 삼거리,127.1640326,36.8305713,신안동
CAB285001055,단국대 삼거리,127.1623408,36.8307433,신안동
CAB285001056,단국대 삼거리,127.1622381,36.83082139,신안동
CAB285001057,북일고북일여고,127.158964,36.8285241,신안동
CAB285001058,북일고북일여고,127.1578173,36.8279168,신안동
CAB285001059,포레나신부 힐스테이트,127.1556114,36.8263588,신안동
CAB285001060,힐스테이트 포레나신부,127.1554165,36.82645288,신안동
CAB285001061,도솔광장,127.1633441,36.82281464,신안동
CAB285001062,도솔광장,127.162808,36.8224033,신안동
CAB285001063,안서동(문암),127.186893,36.8444928,신안동
CAB285001067,송덕리,127.11953,36.923318,성환읍
CAB285001068,기린빌라,127.1177136,36.9265446,성환읍
CAB285001069,우신1리(경로당),127.117188,36.9295042,성환읍
CAB285001070,우신1리,127.1168885,36.9366157,성환읍
CAB285001071,어룡리,127.116644,36.940852,성환읍
CAB285001074,동성중학교,127.1283551,36.90657911,성환읍
CAB285001075,삼풍아파트,127.1305841,36.91229961,성환읍
CAB285001076,매주4리(삼천리앞),127.1253307,36.91115133,성환읍
CAB285001077,율금리,127.1030575,36.8962232,성환읍
CAB285000038,안궁5리,127.1195257,36.96443966,성환읍
CAB285000039,안궁5리(문화촌),127.1200541,36.96399296,성환읍
CAB285000040,안궁3리(가룡),127.1254315,36.9619402,성환읍
CAB285000041,안궁4리(신안동),127.1295491,36.95669627,성환읍
CAB285000042,안궁3리,127.1255887,36.9619677,성환읍
CAB285000043,안궁리,127.1301391,36.95571297,성환읍
CAB285000044,대홍5리,127.1325609,36.9480054,성환읍
CAB285000045,대홍5리 홍천,127.1323191,36.94933632,성환읍
CAB285000046,대홍5리,127.1328807,36.94633466,성환읍
CAB285000047,대홍5리,127.1333158,36.94615489,성환읍
CAB285000050,대홍1리(대정),127.1343591,36.93843296,성환읍
CAB285000051,대홍4리(갯방죽),127.1341091,36.93176964,성환읍
CAB285000052,대홍4리(갯방죽),127.1344624,36.93229797,성환읍
CAB285000053,희성폴리머,127.1342557,36.92925798,성환읍
CAB285000054,희성폴리머,127.1340474,36.92884631,성환읍
CAB285000055,장로교회,127.1346624,36.92347629,성환읍
CAB285000056,장로교회,127.1344274,36.92336465,성환읍
CAB285000057,대홍리,127.1341577,36.9487585,성환읍
CAB285000058,수향1리(지족향),127.1417441,36.94976127,성환읍
CAB285000059,수향2리(무내),127.1496207,36.94627127,성환읍
CAB285000060,수향2리,127.1506368,36.94339467,성환읍
CAB285000061,수향3리,127.1564822,36.9420418,성환읍
CAB285000062,천안연암대학교,127.1585228,36.9440399,성환읍
CAB285000063,도하3리,127.1618729,36.94592493,성환읍
CAB285000064,도하1리(도감말),127.1640314,36.94769411,성환읍
CAB285000077,성환8리,127.1227674,36.92149462,성환읍
CAB285000078,송덕,127.1189774,36.92381631,성환읍
CAB285000079,국립축산과학원입구,127.1120326,36.9257942,성환읍
CAB285000080,국립축산과학원입구,127.1119714,36.9256904,성환읍
CAB285000082,기린빌라,127.1175471,36.92652779,성환읍
CAB285000083,우신1리(경로당),127.1170294,36.92953195,성환읍
CAB285000084,우신1리,127.1166481,36.93665425,성환읍
CAB285000085,어룡리,127.11673,36.940831,성환읍
CAB285000088,신가1리(신흥),127.117245,36.949251,성환읍
CAB285000089,신가초등학교,127.117336,36.949169,성환읍
CAB285000090,와룡2리(농촌),127.1054641,36.95704461,성환읍
CAB285000091,와룡2리,127.1052511,36.95693833,성환읍
CAB285000092,와룡3리(북농촌),127.1024824,36.95777627,성환읍
CAB285000093,와룡3리,127.1023098,36.95795143,성환읍
