설치주소,설치위치,설치년도,설치형상,관리부서,경도,위도,구,설치주소_짧음
충청남도 천안시 동남구 구성동 435-1,구성1공원,2015.0,정자(1개),정원녹지과(도시숲조성팀),127.16226718,36.797610831,동남구,충청남도 천안시 동남구 구성동
충청남도 천안시 동남구 신부동 124 일원,도솔광장,2017.0,정자(1개),정원녹지과(도시숲조성팀),127.16153246,36.824539434,동남구,충청남도 천안시 동남구 신부동
충청남도 천안시 동남구 신부동 124 일원,도솔광장,2017.0,파고라(9개),정원녹지과(도시숲조성팀),127.16153246,36.824539434,동남구,충청남도 천안시 동남구 신부동
충청남도 천안시 서북구 성환읍 성환리 406,창환주택 단지 안,2009.0,육각정자,정원녹지과(녹지관리팀),127.13273077,36.912918179,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 서북구 성환읍 신방리 293-12,신방2리경로당,2010.0,사각정자,정원녹지과(녹지관리팀),127.07956302,36.941607201,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 서북구 성환읍 수향리 290,수향1리경로회관,2010.0,사각정자,정원녹지과(녹지관리팀),127.14367442,36.951152115,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 서북구 성환읍 양령리 461-6,양령2리마을회관,2010.0,사각정자,정원녹지과(녹지관리팀),127.15387394,36.964199706,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 서북구 성환읍 매주리 328,매주2리경로당,2012.0,사각정자,정원녹지과(녹지관리팀),127.1290188,36.911018344,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 서북구 성환읍 매주리 477-4,도로변(연암율금로),2014.0,육각정자,정원녹지과(녹지관리팀),127.1192424,36.908373661,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 서북구 성환읍 신가리 340-3,신가1리마을회관,2014.0,육각정자,정원녹지과(녹지관리팀),127.11393596,36.949689283,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 서북구 성환읍 신가리 113-85,노인회관 옆,2016.0,육각정자,정원녹지과(녹지관리팀),127.11981462,36.967279857,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 서북구 성환읍 신가리 386-29,신가2리 복지회관,2016.0,육각정자,정원녹지과(녹지관리팀),127.11478919,36.952441559,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 동남구 유량동 230-1,천안향교 앞,2016.0,사각정자,정원녹지과(녹지관리팀),127.17247984,36.816948169,동남구,충청남도 천안시 동남구 유량동
충청남도 천안시 동남구 구룡동 599-1,구룡2리경로당,2017.0,육각정자,정원녹지과(녹지관리팀),127.13815087,36.766394772,동남구,충청남도 천안시 동남구 구룡동
충청남도 천안시 서북구 성환읍 왕림리 104-12,왕림3리 노인회관,2018.0,사각정자,정원녹지과(녹지관리팀),127.08841407,36.927117779,서북구,충청남도 천안시 서북구 성환읍
충청남도 천안시 동남구 신부동 811 일원,신부공원,1995.0,정자(8개),공원관리1팀,127.1596397,36.820036718,동남구,충청남도 천안시 동남구 신부동
충청남도 천안시 동남구 청수동 270,청수2공원,2009.0,파고라(5개),공원관리1팀,127.14876895,36.787420491,동남구,충청남도 천안시 동남구 청수동
충청남도 천안시 동남구 청당동 474,청당1공원,2009.0,파고라(3개),공원관리1팀,127.15353825,36.78659694,동남구,충청남도 천안시 동남구 청당동
충청남도 천안시 동남구 청당동 546,청당2공원,2009.0,파고라(3개),공원관리1팀,127.15789665,36.783320011,동남구,충청남도 천안시 동남구 청당동
충청남도 천안시 동남구 청당동 602,청당3공원,2009.0,파고라(2개),공원관리1팀,127.15708366,36.789024688,동남구,충청남도 천안시 동남구 청당동
충청남도 천안시 동남구 신부동 497-1,신부1공원,2021.0,파고라(2개),공원관리1팀,127.16195654,36.81988274,동남구,충청남도 천안시 동남구 신부동
충청남도 천안시 동남구 신부동 542,신부6공원,,정자(1개),공원관리1팀,127.15542529,36.82367503,동남구,충청남도 천안시 동남구 신부동
