이름,위도,경도,주소
성환읍사무소,36.9181303,127.134403,충청남도 천안시 서북구 성환읍 성환13길 7
성환읍사무소,36.91809,127.134276,"충청남도 천안시 서북구 성환읍 성환13길 7 , 성환읍사무소"
아파트단지,36.90549794,127.0995339,성환읍 율금1길 221-34
아파트단지,36.90281308,127.1353952,성환읍 천안대로 1843
노인회관,36.94908564,127.1343679,성환읍 연암로 19
노인회관,36.95723622,127.1335247,성환읍 안궁2길 18-24
노인회관,36.93403896,127.0816426,성환읍 신무길 37
노인회관,36.94787551,127.1640374,성환읍 도감1길 1
아파트단지,36.90274734,127.1093742,성환읍 율금1길 276
노인회관,36.91918775,127.1260913,성환읍 성환21길 23
수향1리경로회관,36.95115212,127.1436744,충청남도 천안시 서북구 성환읍 수향리 290
신가2리 복지회관,36.95244156,127.1147892,충청남도 천안시 서북구 성환읍 신가리 386-29
